Sr No.,Buyer Name,Total Credits Retired
261,GS 1220 Ecological Stoves for Better Living - Micro Scale PoA - VPA2 Bolivia,2972
262,GS 5796 Native Energy Clean Water Programme Central America: VPA (03) Haiti,14483
263,GS VER UpEnergy's Uganda Biomass Cookstove Project,375678
264,GS1005 Qori Q'oncha - Improved cookstoves diffusion programme in Peru - VPA1,516541
265,GS1005 Qori Q'oncha - Improved cookstoves diffusion programme in Peru - VPA2,1194100
266,GS1005 Qori Q'oncha - Improved cookstoves diffusion programme in Peru - VPA5,63136
267,GS1005 Qori Q'oncha - Improved cookstoves diffusion programme in Peru Ã¢â¬â VPA3,154395
268,GS1005 Qori Q'oncha - Improved cookstoves diffusion programme in Peru Ã¢â¬â VPA4,41901
269,GS10789 VPA1: Efficient and Clean Cooking for households in Somalia,252265
270,GS10789 VPA4: Efficient and Clean Cooking for households in Kenya,20933
271,GS10789 VPA5: Efficient and Clean Cooking for households in the Democratic Republic of Congo (DRC),576
272,GS10789 VPA61: Efficient and Clean Cooking for households in Nigeria ,231730
273,GS10789 VPA6: Efficient and Clean Cooking for households in Cote dâIvoire ,2200
274,GS10789 VPA8: Efficient and Clean Cooking for households in Kenya,39888
275,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA001,98445
276,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA002,86596
277,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA003,85015
278,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA004,85015
279,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA005,81799
280,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA006,70360
281,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA007,67567
282,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA008,51916
283,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA009,46677
284,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA010,40475
285,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA011,6193
286,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA012,2842
287,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA013,205
288,GS10884 - KOKO Kenya - Ethanol Cookstoves Program - CPA-0001,84
289,GS10884 - KOKO Kenya - Ethanol Cookstoves Program - CPA-0002,42639
290,GS10959 VPA02 Safe Water Project in Rwanda II,5602
291,GS10959 VPA03 Safe Water Project in Rwanda III,963
292,GS10959 VPA05 Safe Water Project in Rwanda V,502
293,GS10959 VPA07 Safe Water Project in Bangladesh I,14543
294,GS10959 VPA08 Safe Water Project in Bangladesh II,19268
295,GS10959 VPA09 Safe Water Project in Bangladesh III,9515
296,GS10959 VPA10 Safe Water Project in Bangladesh IV,1740
297,GS1127 SKG Sangha Biodigester PoA - Gulbarga Biodigester Project CPA1,8057
298,GS11450 - MicroEnergy Credits â Microfinance for Clean Energy Product Lines â India - CPA 05 - GS11504,1050
299,GS11450 - MicroEnergy Credits â Microfinance for Clean Energy Product Lines â India - CPA 06 - GS11505,20702
300,GS11450 - MicroEnergy Credits â Microfinance for Clean Energy Product Lines â India - CPA 09 - GS11479,10860
301,GS11450 - MicroEnergy Credits â Microfinance for Clean Energy Product Lines â India - CPA 11 - GS11481,20633
302,GS11450 - MicroEnergy Credits â Microfinance for Clean Energy Product Lines â India - CPA 12 - GS11482 ,18010
303,GS11450 - MicroEnergy Credits â Microfinance for Clean Energy Product Lines â India - CPA 13 - GS11483,29767
304,GS11450 - MicroEnergy Credits â Microfinance for Clean Energy Product Lines â India - CPA 21 - Clear Sky Partners â GS11501,60000
305,GS11450 - MicroEnergy Credits â Microfinance for Clean Energy Product Lines â India - CPA 31 - GS11491,87688
306,GS11450 - MicroEnergy Credits â Microfinance for Clean Energy Product Lines â India - CPA 33 - GS11490,19475
307,GS11623 VPA-1 CO2 Sequestration at a Concrete Recycler in Switzerland using the Neustark Technology,127
308,GS11638 GS11640 RVPA-1 SPOUTS Water Purifier Programme in Africa- WPS in Uganda by TASC- VPA 3,3357
309,GS11993 VPA1:  African Clean Energy for Cooking in Uganda ,400
310,GS1205 Sustainable Energy for Development PoA VPA 1: Improved Cook Stove project in Longjie Guizhou,5945
311,GS1205 Sustainable Energy for Development PoA VPA 3: Improved Cook Stove Project in Brazzaville,10524
312,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-002,9712
313,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-003,8528
314,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-004,8528
315,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-005,8528
316,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-006,8528
317,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-007,8528
318,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-008,10128
319,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-009,8528
320,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-010,11329
321,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-011,17023
322,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-012,11388
323,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-013,7971
324,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-014,8952
325,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-015,8291
326,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-016,8291
327,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-017,8291
328,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-018,8291
329,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-019,8291
330,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-020,8291
331,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-021,8291
332,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-022,8291
333,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-023,8291
334,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-024,8291
335,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-025,8291
336,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-026,8291
337,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-027,8291
338,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-028,8291
339,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-029,8291
340,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-030,8291
341,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-031,8291
342,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-032,8291
343,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-033,8528
344,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-034,8528
345,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-035,8528
346,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-036,8528
347,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-037,8528
348,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-038,8528
349,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-039,8528
350,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-040,8528
351,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-041,8528
352,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-042,8528
353,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-043,8528
354,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-044,8528
355,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-045,8528
356,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-046,7672
357,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-047,863
358,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-049,1473
359,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-081,500
360,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-083,6956
361,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-084,8528
362,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-085,8457
363,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-086,8504
364,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-087,8556
365,GS1247 VPA 1 Improved Kitchen Regimes: Bugesera Rwanda,59106
366,GS1247 VPA 10 Improved Kitchen Regimes: Nyarugenge (Bugesera) Rwanda,50328
367,GS1247 VPA 100 Improved Kitchen Regimes Multi-Country PoA - Kasungu Boreholes Malawi,20998
368,GS1247 VPA 101 Improved Kitchen Regimes Multi-Country PoA - Kasungu Boreholes Malawi,31951
369,GS1247 VPA 102 Improved Kitchen Regimes Multi-Country PoA - Kasungu Boreholes Malawi,25320
370,GS1247 VPA 103 Improved Kitchen Regimes Multi-Country PoA - Kasungu Boreholes Malawi,29611
371,GS1247 VPA 104 Improved Kitchen Regimes Multi-Country PoA - Kasungu Boreholes Malawi,30384
372,GS1247 VPA 106 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,42039
373,GS1247 VPA 107 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,41768
374,GS1247 VPA 108 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,23583
375,GS1247 VPA 109 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,33719
376,GS1247 VPA 11 Improved Kitchen Regimes: Gatsibo District Borehole Project Rwanda,51808
377,GS1247 VPA 110 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,32838
378,GS1247 VPA 112 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,25252
379,GS1247 VPA 113 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,34841
380,GS1247 VPA 114 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,26399
