ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Crediting Period Start Date,Crediting Period End Date
4248,Haishang Shaoyang Composting Project,"Shaoyang County Haishang Ecological Agriculture Technology Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,58858,Asia,01-08-2021,31-07-2031
4249,Ordu Landfill Gas to Electricity Project,Ordu Yenilenebilir Enerji Elektrik Üretim Sanayi ve Ticaret Anonim ?irketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,Turkey,38967,Europe,24-06-2021,23-06-2028
4250,CLEAN COOKSTOVE FOR GARO COMMUNITIES,GHE Impact Ventures Private Limited,Energy demand,,VMR0006,Registered,India,94759,Asia,19-10-2022,18-10-2029
4251,Vega Diyarbakir Waste to Energy Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001; ACM0022,Under validation,Turkey,182826,Middle East,11-06-2021,10-06-2028
4245,Biogas to electricity generation group project in India,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.F.; AMS-III.D.,Registered,India,20862,Asia,22-06-2021,21-06-2028
4238,HEFEI BIOGAS RECOVERY AND UTILIZATION PROJECT,"Hefei Modern Energy Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,82118,Asia,01-04-2022,31-03-2032
4239,WUHE BIOGAS RECOVERY AND UTILIZATION PROJECT,"Modern Energy Wuhe Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management",,ACM0010,Registration and verification approval requested,China,173943,Asia,01-04-2022,31-03-2032
4240,Guinan Grassland Sustainable Management Project,"Qinghai Tanzhihuilin Co., LTD",Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,303025,Asia,05-05-2020,04-05-2060
4242,ACCELERATING THE ADOPTION AND USE OF ELECTRIC VEHICLES,"Bridge to Renewables, Inc.",Transport,,VM0038,Under validation,United States,250892,North America,01-01-2022,31-12-2031
4243,"Afforestation project with native and exotic species on degraded grasslands in Northeast, Argentina.",Vista Energy Argentina SAU,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Argentina,18012,Latin America,07-07-2022,06-07-2062
4241,GAZIANTEP BIOGAS POWER PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Registration requested,Turkey,185910,Middle East,22-04-2022,21-04-2029
4234,RIDI Grouped Hydro Solar Power Project in Nepal,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registration and verification approval requested,Nepal,38598,Asia,22-08-2021,21-08-2028
4235,Improved cropland management project in Anyang,"Harbin Ruying Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,230000,Asia,01-09-2020,31-08-2120
4236,Anew Agri-carbon Aggregation 1,Anew Carbon Farming LLC,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,United States,487123,North America,01-03-2022,28-02-2042
4237,Public Lighting in Brazil Grouped Project,Future Carbon Holding S.A.,Energy demand,,AMS-II.L.,Registration requested,Brazil,47404,Latin America,09-11-2021,08-11-2028
4231,Shanxi Changzhi Sanyuan CMM Power Generation Project,"Changzhi Suburb Baoneng New Energy Development Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,244963,Asia,25-06-2021,24-06-2031
4232,Salima 60MW Solar PV Project,Salima JCM Solar Corporation Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,Malawi,12352,Africa,28-10-2021,27-10-2031
4233,Golomoti 20MW Solar PV Project,Golomoti JCM Solar Corporation Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,Malawi,4642,Africa,14-03-2022,13-03-2032
4229,RENEW SAKHI - IMPROVED COOKSTOVES - 01,ReNew Power Synergy Private Limited,Energy demand,,VMR0006,Registered,India,2648515,Asia,01-03-2023,28-02-2030
4230,TURK CIM BIOGAS PROJECT,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AM0073,Registration and verification approval requested,Turkey,260983,Middle East,26-06-2021,25-06-2028
4222,SMG - Bamboo Plantations for a better tomorrow,OYU Green Private Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,India,221515,Asia,01-05-2020,30-04-2040
4223,D.Light's Improved Cooking Project In Kenya,"d.light design, Ltd",Energy demand,,VMR0006,Registered,Kenya,38422,Africa,08-09-2022,07-09-2029
4225,D.Light's Improved Cooking Project In Nigeria,"d.light design, Ltd",Energy demand,,VMR0006,Registered,Nigeria,397068,Africa,01-06-2023,31-05-2030
4226,D.Light's Improved Cooking Project In Uganda,"d.light design, Ltd",Energy demand,,VMR0006,Registered,Uganda,621725,Africa,19-04-2023,18-04-2030
4227,Huinan County Improved Forest Management Project,"Jinyongli Carbon Oxygen Technology (Jilin) Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,VM0010,Rejected by Administrator,China,184636,Asia,01-01-2019,31-12-2048
4218,Gansu Guazhou Sustainable Grassland Management Project,"Beijing Qianyuhui Environmental Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0026,Registration requested,China,461834,Asia,01-06-2020,31-05-2060
4219,IMPROVED COOKSTOVES IN LIBERIA,Carbonibus S.r.l.,Energy demand,,VMR0006,Registered,Liberia,1627469,Africa,15-05-2023,14-05-2030
4220,Malatya 2 Landfill Gas Power Plant Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,Turkey,68115,Middle East,27-06-2021,26-06-2028
4221,Seringueira II REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Withdrawn,Brazil,79730,Latin America,17-07-2020,16-07-2050
4217,Distribution of Improved Cook Stoves in Sub-Saharan Africa–Zambia-CPA-005,C-Quest Capital Malaysia Global Stoves Limited,Energy demand,,VMR0006,On Hold - see notification letter,Zambia,298110,Africa,06-08-2019,05-08-2029
4216,"Wen County BCCY New Energy Co., Ltd Landfill Gas Direct Combustion Utilization Heating Project","Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.G.,Registered,China,39832,Asia,01-09-2021,31-08-2031
4209,Oeste de Caucaia Landfill Project Activity,GNR FORTALEZA VALORIZACAO DE BIOGAS LTDA,Waste handling and disposal,,ACM0001,Registration requested,Brazil,583545,Latin America,,
4203,Feicheng Composting Project,"Taian Jinliyuan Fertilizer Technology Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.F.,Under validation,China,59122,Asia,01-01-2022,31-12-2031
4204,Combating climate change with sustainable agriculture and land use management project by Indian Farmers,Himadri Energy International Private Limited,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,India,75794,Asia,17-06-2020,16-06-2040
4205,Y?lmazlar Biogas Power Plant Project,Y?lmazlar Madencilik Sanayi ve Ticaret Limited ?irketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.D.,Registered,Turkey,35855,Middle East,29-09-2021,28-09-2028
4206,Kütahya Landfill Gas to Electricity Project,Kütahya Biyokütle Enerji Üretim Sanayi ve Ticaret Anonim ?irketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registration requested,Turkey,32597,Europe,24-06-2021,23-06-2028
4207,Bayer Agricultural Carbon Program,Bayer Crop Science LP,Agriculture Forestry and Other Land Use,ALM,VM0042,Rejected by Administrator,United States,96500,North America,17-02-2020,16-02-2040
4201,The Carbon Farming Program of Lithuania,UAB Heavy Finance,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,Lithuania,79994,Europe,01-05-2020,30-04-2040
4197,SANLI BIOGAS POWER PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Registration requested,Turkey,311544,Middle East,30-06-2021,29-06-2028
4198,Yongtai Danyun Duck Farm Manure Composting Project,"Yongtai Golden Egg Development Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.F.,Registered,China,35490,Asia,07-06-2021,06-06-2028
4195,Anlu Aonong Swine Farm Manure Management System GHG Mitigation Project,"Hubei Aonong Animal Husbandry Development Co., Ltd","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,140424,Asia,10-09-2021,09-09-2028
4196,MicroEnergy Credits - Microfinance for Efficient Lighting Product Lines - India,MicroEnergy Credits Corp,Energy demand,,AMS-II.C.,Registered,India,43079,Asia,15-07-2021,14-07-2028
4194,"MANGROVE REFORESTATION IN DANZHOU, HAINAN PROVINCE",Hainan University,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under validation,China,4839,Asia,01-06-2020,31-05-2050
4190,Northeast Jiangsu Improved Cropland Management Project,"Huizhi (Shanghai) Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,716201,Asia,01-01-2022,31-12-2041
4191,HENAN SANMENXIA IFM (conversion of logged to protected forest) project,"Hangzhou Chaoteng Energy Technology Co., Ltd",Agriculture Forestry and Other Land Use,IFM,VM0010,Inactive,China,31511,Asia,01-08-2020,31-07-2050
4192,COD BIOGAS ENERGY MANURE TREATMENT PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Registration requested,Turkey,172898,Middle East,28-06-2021,27-06-2028
4193,Yushu Improved Cropland Management Project,"Yushu Rongxing City Development Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,482152,Asia,01-01-2021,31-12-2040
4186,"REDUCING EMISSIONS FROM DEFORESTATION DUE TO SLASH-AND-BURN CORN BY INTRODUCING CACAO FARMING IN GORONTALO PROVINCE, INDONESIA",Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Rejected by Administrator,Indonesia,198510,Asia,01-01-2020,31-12-2039
4187,Floating Solar project of Greenam Energy,Greenam Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registration and verification approval requested,India,36376,Asia,12-01-2022,11-01-2029
4188,Grouped Captive Solar Power Project in Bangladesh,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,Bangladesh,6398,Asia,10-03-2022,09-03-2029
4182,Guantao Qingfeng Biological Manure Management Greenhouse Gas Emission Reduction Project,"Guantao County Qingfeng Biotechnology Co.,Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registration and verification approval requested,China,37490,Asia,22-03-2022,21-03-2029
4183,Hunan Shimen IFM (conversion of logged to protected forest) Project,"Shimen County Economic Construction Investment Development Co., Ltd",Agriculture Forestry and Other Land Use,IFM,VM0010,Under validation,China,31152,Asia,01-04-2021,31-03-2041
4184,Talihya Nord I Hydro power rural electrification,Energie du Nord-Kivu SARL,Energy industries (renewable/non-renewable sources),,AMS-I.L.,Registered,"Congo, The Democratic Republic of The",41750,Africa,25-07-2023,24-07-2030
4185,KARAMANLI BIOGAS ENERGY POWER PLANT,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AM0073,Registration request denied,Turkey,86665,Middle East,30-06-2021,29-06-2028
4178,"Myanmar Bago 2,450 acres afforestation project","Color Park International Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Myanmar,3140281,Asia,01-08-2023,31-07-2079
4179,BAMBOO PLANTATION BASED GROUPED PROJECT IN INDIA,Carbonwatch India Private Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Inactive,India,4221,Asia,15-07-2020,14-07-2050
4180,Vemo Conduce - Mexico City,Mobility I.P. S.A. de C.V,Transport,,VM0038,Under validation,Mexico,33403,Latin America,01-01-2022,31-12-2031
4176,Greenzone Reforestation Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Cameroon,35,Africa,01-01-2023,31-12-2062
4177,HESHAN AWMS GHG Mitigation Project in GUANGDONG Province,"Heshan Lvhu (Green Lake) bioenergy CO., Ltd Company","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,68316,Asia,01-08-2021,31-07-2028
4175,XINJIANG YINING SUSTAINABLE GRASSLAND MANAGEMENT PROJECT,Fujian Jinsen Carbon Sink Technology Co. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,254866,Asia,15-09-2020,14-09-2040
4166,Distribution of Improved Cook Stoves in Sub-Saharan Africa-Malawi-CPA-004,C-Quest Capital Malaysia Global Stoves Limited,Energy demand,,VMR0006,On Hold - see notification letter,Malawi,98828,Africa,06-01-2019,05-01-2029
4167,Huangping Aonong Swine Farm Composting Project,"Guizhou Aonong Qihuan Animal Husbandry Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registered,China,51020,Asia,01-09-2021,31-08-2031
4168,BAITANG AONONG SWINE FARM COMPOSTING PROJECT,"Guizhou Aonong Qihuan Animal Husbandry Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.F.,Registered,China,59776,Asia,01-08-2021,31-07-2031
4169,Wuwei Liangzhou Municipal Solid Waste Incineration Power Generation Project,"Wuwei everbright Environmental Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,China,37198,Asia,20-06-2021,19-06-2031
4170,Northeast Anhui Improved Cropland Management Project,"Anhui Enyang Ecological Agriculture Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,764964,Asia,01-01-2022,31-12-2041
4171,North Anhui Improved Cropland Management Project,"Anhui Enyang Ecological Agriculture Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,885056,Asia,01-01-2022,31-12-2041
4172,Northwest Anhui Improved Cropland Management Project,"Anhui Enyang Ecological Agriculture Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,760918,Asia,01-01-2022,31-12-2121
4173,Akalan Biogas Energy Power Plant,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AM0073,Registration requested,Turkey,81924,Middle East,30-06-2021,29-06-2028
4163,Otog Front Banner sustainable grassland management project,Otog Front Banner Cultural Tourism Group Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0026,Registration and verification approval requested,China,262179,Asia,25-05-2020,24-05-2060
4164,Grouped Captive Solar Power Project by Kohinoor Maple Leaf Group,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,Pakistan,18484,Asia,12-07-2021,11-07-2028
4165,Seringueira REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Under validation,Brazil,1054735,Latin America,12-07-2020,11-07-2030
4161,Installation of high efficiency wood burning cookstoves in Ghana,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Registered,Ghana,1126602,Africa,27-09-2023,26-09-2033
4162,Installation of high efficiency wood burning cookstoves in Namibia,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Under validation,Namibia,1987228,Africa,01-06-2023,31-05-2033
4159,Installation of high efficiency wood burning cookstoves in Côte d'Ivoire,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Under validation,Cote D'Ivoire,1545621,Africa,01-06-2023,31-05-2033
4160,Installation of high efficiency wood burning cookstoves in Togo,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Under validation,Togo,1920986,Africa,01-06-2023,31-05-2033
4153,"Sustainable coffee landscapes in indigenous rural communities of Oaxaca, Mexico",Livelihoods Fund SICAV SIF,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Mexico,45346,Latin America,21-07-2021,20-07-2041
4155,Bamboo Afforestation in Malawi,C-Quest Capital SG Africa Holdings Private Limited,Agriculture Forestry and Other Land Use,ARR,Methodology Under Development,Under development,Malawi,174301,Africa,08-12-2019,07-12-2039
4157,Installation of high efficiency wood burning cookstoves in Tanzania - Project 3,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,On Hold - see notification letter,Tanzania,285339,Africa,05-08-2021,04-08-2031
4158,Installation of high efficiency wood burning cookstoves in Chad,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Under validation,Chad,2075549,Africa,01-06-2023,31-05-2033
4149,The High Impact Soil Carbon Program of Lithuania,UAB Heavy Finance,Agriculture Forestry and Other Land Use,ALM,VM0042,Rejected by Administrator,Lithuania,33975,Europe,01-08-2019,31-07-2039
4150,DelAgua Clean Cooking Grouped Project in Rwanda,Multiple Proponents,Energy demand,,VMR0006,Verification approval requested,Rwanda,2243669,Africa,11-10-2021,10-10-2028
4151,BioLite Africa Improved Stove Program,BioLite,Energy demand,,VMR0006,Registered,Rwanda,265156,Africa,01-06-2022,31-05-2029
4148,Strengthening rural livelihood through carbon finance: Agroforestry practices in Lucknow Forest Circle of Uttar Pradesh,"Department of Environment, Forest and Climate Change, Government of Uttar Pradesh",Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Under validation,India,161781,Asia,28-03-2020,27-03-2050
4144,CHITETEZO MBAULA PROJECT – MALAWI,CO2Logic SA,Energy demand,,VMR0006,Registration and verification approval requested,Malawi,152358,Africa,01-08-2021,31-07-2028
4145,BLACK SOLDIER FLY COMMERCIAL FARMING PROJECT,Chanzi,Waste handling and disposal,,AMS-III.F.,Registration and verification approval requested,Tanzania,5245,Africa,01-09-2021,31-08-2028
4136,Wetlands Along the Yangtze River and Dongting Lake Restoration Project in Junshan,Multiple Proponents,Agriculture Forestry and Other Land Use,WRC,VM0036,Under validation,China,9774,Asia,09-03-2020,08-03-2070
4137,Productive Second Floor with Macaúba,INOCAS,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Under validation,Brazil,324,Latin America,30-01-2020,29-01-2050
4138,BRUSQUE LANDFILL GAS PROJECT,RECICLE CATARINENSE DE RESÍDUOS LTDA.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Verification approval requested,Brazil,123555,Latin America,11-07-2022,10-07-2029
4139,Grouped Hydro Power Project by EKI Energy Services Limited,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registration and verification approval requested,Nepal,21741,Asia,17-09-2021,16-09-2028
4141,Itamarati Grouped REDD Project,Future Carbon Holding S.A.,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,42151,Latin America,25-04-2022,24-04-2052
4142,Serenity Valley REDD Project,Biofilica Ambipar Environmental Investments S.A,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,251636,Latin America,25-05-2020,24-05-2050
4143,Urupianga Grouped REDD Project,Future Carbon Holding S.A.,Agriculture Forestry and Other Land Use,REDD,VM0015,Registration and verification approval requested,Brazil,88272,Latin America,26-01-2021,25-01-2051
4129,Project Sathya Improved Cookstoves and Livelihood,Carbon Impact Capital,Energy demand,,VMR0006,Withdrawn,India,22208,Asia,30-03-2023,29-03-2033
4130,GIRESUN LANDFILL GAS (LFG) PROJECT,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registration requested,Turkey,64635,Middle East,02-04-2021,01-04-2031
4131,Future Carbon Methane Capture Grouped Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.D.,Under validation,Brazil,13298,Latin America,01-03-2023,28-02-2030
4127,Household Appliance Distribution in Lao PDR-CPA-003,C-Quest Capital Stoves Asia Limited,Energy demand,,VMR0006,On Hold - see notification letter,Lao,201394,Asia,23-10-2018,22-10-2028
4128,ECOPARQUE MACEIÓ LANDFILL GAS PROJECT,ORIZON Valorização de Resíduos S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Inactive,Brazil,321801,Latin America,01-07-2023,30-06-2030
4118,Ground-Truth Australian Orchards,Carbon Friendly Pty Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Registration requested,Australia,850073,Oceania,01-02-2020,31-01-2040
4120,Qinghai Haixi Ulan Afforestation Project,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,China,23636,Asia,18-05-2020,17-05-2060
4122,Siziwang Banner Improved Grassland Management Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0026,Withdrawn,China,1352291,Asia,01-05-2020,30-04-2060
4123,1MTN Uganda Bamboo Planting Project,1MTN Nation UG OU,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Uganda,88110,Africa,01-04-2023,31-03-2063
4124,BUYUKSISMANLAR BIOGAS ENERGY PLANT,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.D.,Registration requested,Turkey,42289,Middle East,18-09-2021,17-09-2028
4125,AS KOC KIRSEHIR BIOGAS POWER PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Registration requested,Turkey,390068,Middle East,17-06-2021,16-06-2028
4126,Community Restoration of Native Ecosystems in Ghana,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Ghana,92,Africa,31-01-2023,30-01-2063
4110,Henan Luoning IFM (conversion of logged to protected forest) Project,"Zhejiang Zhongzheng Forestry Development Co.,Ltd",Agriculture Forestry and Other Land Use,IFM,VM0010,Registration and verification approval request denied,China,78666,Asia,01-04-2020,31-03-2050
4111,Northwest Shandong Improved Cropland Management Project,"Shandong Yiji Ecological Agriculture Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Withdrawn,China,1084991,Asia,01-01-2022,31-12-2041
4112,Western Shandong Improved Cropland Management Project,"Shandong Yiji Ecological Agriculture Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,1496349,Asia,01-01-2022,31-12-2041
4113,Southwest Shandong Improved Cropland Management Project,"Shandong Yiji Ecological Agriculture Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,1465734,Asia,01-01-2022,31-12-2041
4114,Core Carbon Sustainable Rice Productions 03,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,India,52920,Asia,08-08-2022,07-08-2029
4115,Core Carbon Sustainable Rice Productions 02,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,India,52920,Asia,01-08-2022,31-07-2029
4116,Heilongjiang Hulin Improved Agricultural Land Management Project,"Heilongjiang Tanlv Ecological Resources Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,277382,Asia,01-11-2020,31-10-2060
4117,REDD Carbonflor,ECCON Solucoes Ambientais,Agriculture Forestry and Other Land Use,REDD,VM0007,Under validation,Brazil,92928,Latin America,06-10-2021,05-10-2066
4109,Electrical Hydrant Dispensers at ?stanbul Airport,TFS Akaryak?t Hizmetleri A.?.,Transport,,AMS-III.C.,Registration requested,Turkey,429,Middle East,01-01-2021,31-12-2027
4103,Water Purification System for Safe Drinking Water (SDW) in Indonesia,Synopex Inc.,Energy demand,,AMS-III.AV.,Registered,Indonesia,12329,Asia,21-07-2021,20-07-2028
4104,Adjusted Water Management in Rice Cultivation in Potou District,"Xuwen Xinpenggang Building Materials Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,59874,Asia,20-02-2020,19-02-2030
4105,Core Carbon Sustainable Rice Productions 04,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,India,52920,Asia,11-08-2022,10-08-2029
4106,Bekmezci Biogas Energy Power Plant,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AM0073,Registration requested,Turkey,48533,Middle East,30-06-2021,29-06-2028
4107,Gansu Longnan Afforestation Project,Longnan State Capital Investment Management Company Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,China,66929,Asia,20-05-2020,19-05-2080
4098,Adjusted Water Management in Rice Cultivation in the East of Wuchuan,"Xuwen Xinpenggang Building Materials Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,59832,Asia,16-02-2020,15-02-2030
4099,Adjusted Water Management in Rice Cultivation in the North of Lianjiang,"Xuwen Xinpenggang Building Materials Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,59876,Asia,05-03-2020,04-03-2030
4100,Adjusted Water Management in Rice Cultivation in the Northwest of Leizhou,"Xuwen Xinpenggang Building Materials Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,59929,Asia,14-02-2020,13-02-2030
4101,Adjusted Water Management in Rice Cultivation in the Southeast of Lianjiang,"Xuwen Xinpenggang Building Materials Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,59842,Asia,25-02-2020,24-02-2030
4102,Damao Banner Sustainable Grassland Management Project,"Damao Banner Eco-Construction Investment Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0026,Registration and verification approval requested,China,326639,Asia,24-06-2020,23-06-2060
4097,Zhejiang Shengtang Recycling Materials from E-waste Project,"Zhejiang Shengtang Environmental Protection Technology Co., Ltd.",Waste handling and disposal,,AMS-III.BA,Registered,China,34113,Asia,02-06-2021,01-06-2028
4091,FUJIAN PUCHENG IMPROVED FOREST MANAGEMENT PROJECT,"Zhejiang Zhongzheng Forestry Development Co.,Ltd",Agriculture Forestry and Other Land Use,IFM,VM0010,Under validation,China,69731,Asia,01-01-2020,31-12-2049
4093,Socially Responsible Plastic Waste Collection and Recycling Initiative by Gemcorp India,Gemcorp Recycling & Technologies Private Limited,Manufacturing industries; Waste handling and disposal,,AMS-III.J.,Under validation,India,13589,Asia,27-07-2020,26-07-2027
4094,Curuá Grouped REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,105789,Latin America,08-06-2020,07-06-2050
4095,Rio Manito Grouped REDD Project,Future Carbon Holding S.A.,Agriculture Forestry and Other Land Use,REDD,VM0015,Withdrawn,Brazil,102785,Latin America,01-12-2022,30-11-2052
4080,Inner Mongolia Kuduer Improved Forest Management Project,"Kuduer Forest Industry Co., LTD",Agriculture Forestry and Other Land Use,IFM,VM0010,Rejected by Administrator,China,109790,Asia,01-01-2020,31-12-2049
4082,Canindé Grouped REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007; VM0015,Registration requested,Brazil,51974,Latin America,10-10-2022,09-10-2052
4083,Shanxi Jingle Afforestation Project,Jingle County Sailing Carbon Sink Development Co. LTD,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,China,248775,Asia,01-08-2019,31-07-2079
4084,Arataú REDD Project,Future Carbon Holding S.A.,Agriculture Forestry and Other Land Use,REDD,VM0015,Withdrawn,Brazil,217988,Latin America,23-06-2022,22-06-2052
4086,Suihuang Adjusted Water Management in Rice Cultivation,"Xuwen Xinpenggang Building Materials Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,59906,Asia,02-03-2020,01-03-2030
